,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
5690,S,M,NA,NA,NA,1010,665,3,5,22,No,5,No,9,No,5,No,694,Yes,5,No,270,Yes,694,Yes,388,Yes,97,No,2,0,1,0,69,0,26,61,0,8,0,28,12,10,No,6,94,95,NA,NA,30,100,36,32,23,7,2,2.09,94,2,0,0,0,100,0,1075,0,1072,158.67235,1010,484.8,0,0,48.1,1007,322.24,0,0,32,0,0,0,0,0,509,101.8,0,0,10.1,495,29.7,2.9,495,14.85,1.5,494,14.82,1.5,494,39.52,3.9,0,0,0,0,0,0,1007.73,0
5691,S,E,NA,NA,NA,400,752,6,8,30,No,0,No,12,No,3,No,252,Yes,3,No,100,Yes,251,Yes,112,Yes,39,No,8,0,3,1,65,1,23,56,21,10,0,29,2,9,No,12,88,92,21,32,NA,97,23,35,25,11,6,2.4,93,4,21,62,17,0,0,454,0,454,165.80762,400,192,0,0,54,400,128,0,0,36,88,17.6,0,0,4.9,0,0,0,0,0,90,5.4,1.5,90,2.7,0.8,90,2.7,0.8,90,7.2,2,0,0,0,0,0,0,355.6,0
5692,D,2,NA,NA,NA,4855,764,B,B,246,Yes,41,No,110,Yes,160,Yes,1721,Yes,35,No,2539,Yes,1228,Yes,799,Yes,370,Yes,6,1,2,3,36,1,51,24,27,6,0,15,2,8,NA,11,89,90,19,29,29,58,10,25,44,15,7,2.84,98,0,13,43,15,30,0,5433,9,5415,NA,4854,2329.92,0,0,52.4,4843,1549.76,0,0,34.9,690,138,0,0,3.1,715,143,0,0,3.2,1418,85.08,1.9,1418,42.54,1,1416,42.48,1,1416,113.28,2.5,0,0,0,0,0,0,4444.06,0
5693,S,E,NA,NA,NA,344,768,6,6,24,No,6,No,9,No,3,No,104,Yes,4,No,193,Yes,86,Yes,40,No,26,No,8,1,3,2,32,1,51,22,47,4,0,12,1,8,Yes,18,81,84,18,29,NA,52,10,32,42,11,5,2.68,100,0,22,78,0,0,0,424,2,421,170.34195,343,164.64,0,0,53.2,343,109.76,0,0,35.5,94,18.8,0,0,6.1,0,0,0,0,0,80,4.8,1.6,80,2.4,0.8,81,2.43,0.8,81,6.48,2.1,0,0,0,0,0,0,309.31,0
5697,S,E,NA,NA,NA,721,811,8,8,45,No,6,No,22,No,42,No,190,Yes,4,No,412,Yes,105,Yes,80,No,73,No,7,1,3,6,27,1,55,15,47,3,0,11,1,10,Yes,13,86,87,19,30,NA,81,6,16,48,21,9,3.11,100,0,22,78,0,0,0,837,2,835,174.19516,721,346.08,0,0,53,720,230.4,0,0,35.3,191,38.2,0,0,5.9,0,0,0,0,0,190,11.4,1.7,190,5.7,0.9,190,5.7,0.9,190,15.2,2.3,0,0,0,0,0,0,652.68,0
5698,S,E,NA,NA,NA,563,815,8,9,29,No,5,No,10,No,22,No,189,Yes,5,No,303,Yes,130,Yes,82,No,50,No,5,1,2,4,35,1,51,22,50,7,0,14,2,9,Yes,11,89,89,18,30,NA,78,6,26,44,17,7,2.91,95,2,23,77,0,0,0,636,0,636,173.86248,563,270.24,0,0,53,560,179.2,0,0,35.1,156,31.2,0,0,6.1,0,0,0,0,0,147,8.82,1.7,147,4.41,0.9,147,4.41,0.9,147,11.76,2.3,0,0,0,0,0,0,510.04,0
5701,S,E,NA,NA,NA,319,745,5,10,61,Yes,1,No,11,No,14,No,187,Yes,2,No,39,No,237,Yes,127,Yes,28,No,19,0,2,3,61,1,11,70,50,3,0,44,1,7,No,31,69,72,21,29,NA,79,37,27,21,14,2,2.17,96,0,26,74,0,0,0,463,0,458,155.38831,319,153.12,0,0,53.2,318,101.76,0,0,35.3,82,16.4,0,0,5.7,0,0,0,0,0,83,4.98,1.7,83,2.49,0.9,83,2.49,0.9,83,6.64,2.3,0,0,0,0,0,0,287.88,0
5703,S,H,NA,NA,NA,2003,657,4,3,469,Yes,8,No,71,No,63,No,750,Yes,9,No,617,Yes,746,Yes,355,Yes,270,Yes,23,0,3,3,38,0,30,35,0,12,0,11,10,14,No,5,95,96,NA,NA,29,90,8,23,37,25,7,3.01,83,3,0,0,0,0,100,2137,0,2098,159.35284,0,0,1989,596.7,29.3,0,0,2003,400.6,19.7,0,0,1994,299.1,14.7,0,0,1236,278.1,13.7,0,0,0,0,0,0,0,0,0,0,0,0,759,227.7,11.2,779,233.7,11.5,0,2035.9
5704,S,H,NA,NA,NA,1634,648,3,6,292,Yes,10,No,61,No,34,No,734,Yes,18,No,475,Yes,774,Yes,394,Yes,211,Yes,19,1,4,2,45,1,28,44,0,10,0,14,13,13,No,11,89,91,NA,NA,29,87,21,23,33,17,6,2.64,95,3,0,0,0,0,100,1864,0,1838,154.73962,0,0,1627,488.1,29,0,0,1634,326.8,19.4,0,0,1618,242.7,14.4,0,0,1012,227.7,13.5,0,0,0,0,0,0,0,0,0,0,0,0,664,199.2,11.8,666,199.8,11.9,0,1684.3
5705,S,H,A,S,Y,25,370,B,B,10,No,0,No,0,No,0,No,13,No,0,No,2,No,8,No,7,No,5,No,36,0,0,1,52,0,10,4,0,0,0,12,3,13,No,77,23,83,NA,NA,21,43,36,32,26,6,0,2.02,100,0,0,0,6,30,63,115,0,112,NA,9,4.32,16,4.8,42.4,9,2.88,16,3.2,28.3,0,0,16,2.4,11.2,7,1.4,4,0.9,10.7,2,0.12,0.6,2,0.06,0.3,2,0.06,0.3,2,0.16,0.7,1,0.3,1.4,3,0.9,4.2,9,12.5
5708,S,H,NA,NA,NA,1649,601,2,5,411,Yes,5,No,48,No,39,No,880,Yes,10,No,254,Yes,1036,Yes,519,Yes,205,Yes,25,0,3,3,53,1,15,57,0,5,0,23,11,11,No,12,88,90,NA,NA,30,79,21,32,27,15,4,2.49,76,11,0,0,0,0,100,1932,0,1875,151.21526,0,0,1635,490.5,29.2,0,0,1648,329.6,19.6,0,0,1636,245.4,14.6,0,0,1023,230.175,13.7,0,0,0,0,0,0,0,0,0,0,0,0,629,188.7,11.2,660,198,11.8,0,1682.375
5709,S,H,A,NA,NA,250,456,B,B,75,Yes,0,No,2,No,3,No,136,Yes,0,No,33,No,163,Yes,86,Yes,25,No,29,0,2,1,52,1,14,51,0,1,0,24,5,9,No,48,52,81,NA,NA,15,82,26,33,25,12,4,2.34,85,7,0,0,0,0,100,485,0,484,NA,0,0,248,74.4,24.2,0,0,250,50,16.3,0,0,250,37.5,12.2,0,0,194,43.65,14.2,0,0,0,0,0,0,0,0,0,0,0,0,160,48,15.6,180,54,17.6,0,307.55
5710,S,H,NA,NA,NA,1421,611,2,7,300,Yes,5,No,38,No,33,No,865,Yes,18,No,160,Yes,1111,Yes,665,Yes,195,Yes,22,0,3,2,60,1,11,73,0,4,0,34,15,14,No,10,90,91,NA,NA,25,82,32,32,24,11,2,2.2,86,5,0,0,0,0,100,1575,0,1574,148.80473,0,0,1415,424.5,29.3,0,0,1421,284.2,19.6,0,0,1393,208.95,14.4,0,0,825,185.625,12.8,0,0,0,0,0,0,0,0,0,0,0,0,562,168.6,11.6,595,178.5,12.3,0,1450.375
5719,S,E,NA,NA,NA,652,643,2,3,95,No,2,No,14,No,12,No,471,Yes,7,No,50,No,577,Yes,362,Yes,70,No,14,0,2,2,73,1,8,86,46,8,0,58,4,10,Yes,12,88,89,21,32,NA,66,34,31,24,8,3,2.17,96,2,24,76,0,0,0,738,0,738,158.75514,652,312.96,0,0,53.5,652,208.64,0,0,35.7,165,33,0,0,5.6,0,0,0,0,0,153,9.18,1.6,153,4.59,0.8,153,4.59,0.8,153,12.24,2.1,0,0,0,0,0,0,585.2,0
5720,S,M,NA,NA,NA,1368,707,5,5,270,Yes,2,No,52,No,56,No,563,Yes,5,No,416,Yes,561,Yes,247,Yes,165,Yes,20,0,4,4,41,0,29,41,0,19,0,10,12,12,Yes,7,93,95,NA,32,29,83,8,22,35,24,11,3.09,95,0,0,0,31,69,0,1469,0,1469,164.66176,1366,655.68,0,0,51.1,1368,437.76,0,0,34.1,0,0,0,0,0,505,101,0,0,7.9,442,26.52,2.1,442,13.26,1,437,13.11,1,442,35.36,2.8,0,0,0,0,0,0,1282.69,0
5724,S,M,NA,NA,NA,1396,633,2,5,294,Yes,5,No,34,No,33,No,826,Yes,12,No,192,Yes,1065,Yes,559,Yes,171,Yes,22,0,2,2,59,1,14,74,0,7,0,25,18,12,Yes,9,91,92,NA,32,29,77,22,34,26,14,4,2.43,90,6,0,0,34,66,0,1532,0,1532,153.92081,1394,669.12,0,0,51.6,1395,446.4,0,0,34.5,0,0,0,0,0,464,92.8,0,0,7.2,438,26.28,2,438,13.14,1,437,13.11,1,436,34.88,2.7,0,0,0,0,0,0,1295.73,0
5725,S,E,NA,NA,NA,534,713,4,9,126,Yes,3,No,15,No,10,No,315,Yes,5,No,55,No,430,Yes,183,Yes,54,No,23,0,3,2,59,1,10,78,49,5,0,38,1,9,Yes,19,81,84,21,32,NA,62,24,29,31,14,3,2.43,93,5,25,75,0,0,0,662,0,660,158.40115,534,256.32,0,0,53.6,534,170.88,0,0,35.7,141,28.2,0,0,5.9,0,0,0,0,0,116,6.96,1.5,116,3.48,0.7,116,3.48,0.7,116,9.28,1.9,0,0,0,0,0,0,478.6,0
5726,S,M,NA,NA,NA,1438,556,1,2,257,Yes,7,No,26,No,31,No,971,Yes,13,No,130,Yes,1245,Yes,712,Yes,167,Yes,19,0,2,2,67,1,9,82,0,5,0,40,13,11,Yes,15,85,87,NA,33,30,83,40,30,20,8,2,2.04,88,9,0,0,37,63,0,1691,0,1689,149.38674,1438,690.24,0,0,51.9,1436,459.52,0,0,34.6,0,0,0,0,0,458,91.6,0,0,6.9,441,26.46,2,441,13.23,1,441,13.23,1,442,35.36,2.7,0,0,0,0,0,0,1329.64,0
5737,S,H,NA,NA,Y,144,626,3,1,0,No,0,No,0,No,0,No,65,Yes,0,No,79,Yes,55,Yes,34,No,5,No,0,1,0,0,45,0,55,34,0,0,0,16,8,3,No,6,94,95,NA,NA,27,61,21,53,19,3,3,2.14,73,9,0,0,0,0,100,155,0,154,161.43224,0,0,144,43.2,30.6,0,0,144,28.8,20.4,0,0,144,21.6,15.3,0,0,83,18.675,13.2,0,0,0,0,0,0,0,0,0,0,0,0,49,14.7,10.4,48,14.4,10.2,0,141.375
5738,S,E,NA,NA,NA,292,712,4,4,7,No,0,No,2,No,0,No,166,Yes,0,No,117,Yes,183,Yes,110,Yes,13,No,2,0,1,0,58,0,39,57,54,0,0,36,5,5,No,6,94,94,19,28,NA,91,31,44,22,2,1,1.97,100,0,28,72,0,0,0,312,0,312,166.45369,292,140.16,0,0,53.6,292,93.44,0,0,35.7,62,12.4,0,0,4.7,0,0,0,0,0,78,4.68,1.8,78,2.34,0.9,78,2.34,0.9,78,6.24,2.4,0,0,0,0,0,0,261.6,0
5740,S,E,NA,NA,NA,298,739,5,4,1,No,0,No,0,No,1,No,148,Yes,0,No,148,Yes,145,Yes,91,Yes,22,No,1,0,0,0,51,0,48,46,50,3,0,32,0,7,No,9,91,92,18,27,NA,94,17,49,20,13,2,2.34,96,4,28,72,0,0,0,325,0,325,169.58169,298,143.04,0,0,53.4,298,95.36,0,0,35.6,84,16.8,0,0,6.3,0,0,0,0,0,64,3.84,1.4,64,1.92,0.7,64,1.92,0.7,64,5.12,1.9,0,0,0,0,0,0,268,0
5742,S,E,NA,NA,NA,307,793,7,10,15,No,4,No,4,No,7,No,180,Yes,1,No,96,Yes,163,Yes,96,Yes,27,No,5,2,1,2,60,0,30,51,55,2,0,28,7,9,No,7,93,97,22,29,NA,84,19,32,38,9,2,2.42,92,4,25,75,0,0,0,330,0,330,167.30893,307,147.36,0,0,53.6,306,97.92,0,0,35.6,52,10.4,0,0,3.8,0,0,0,0,0,96,5.76,2.1,96,2.88,1,96,2.88,1,96,7.68,2.8,0,0,0,0,0,0,274.88,0
5745,S,H,NA,NA,NA,163,431,1,1,6,No,4,No,0,No,0,No,122,Yes,1,No,27,No,95,Yes,97,Yes,5,No,4,2,0,0,74,0,16,46,0,0,0,43,15,3,No,18,80,98,NA,NA,NA,58,53,24,19,3,0,1.72,85,15,0,0,0,0,100,205,0,201,149.66476,0,0,162,48.6,46,0,0,163,32.6,30.9,0,0,163,24.45,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.65
5749,S,E,NA,NA,NA,370,702,4,6,44,No,4,No,6,No,5,No,231,Yes,1,No,79,Yes,282,Yes,184,Yes,39,No,13,1,1,1,60,0,23,71,50,3,0,46,5,10,No,11,88,94,21,33,NA,68,33,32,23,8,4,2.18,94,3,26,74,0,0,0,419,0,418,161.62412,370,177.6,0,0,53.8,370,118.4,0,0,35.9,86,17.2,0,0,5.2,0,0,0,0,0,84,5.04,1.5,84,2.52,0.8,84,2.52,0.8,84,6.72,2,0,0,0,0,0,0,330,0
5750,S,E,NA,NA,NA,619,665,2,5,12,No,3,No,2,No,7,No,538,Yes,2,No,55,No,528,Yes,462,Yes,65,No,2,0,0,1,86,1,9,78,48,3,0,63,12,10,Yes,10,90,94,19,25,NA,95,46,28,19,4,2,1.87,94,0,23,77,0,0,0,688,0,688,158.80197,619,297.12,0,0,53,619,198.08,0,0,35.3,173,34.6,0,0,6.2,0,0,0,0,0,156,9.36,1.7,156,4.68,0.8,155,4.65,0.8,156,12.48,2.2,0,0,0,0,0,0,560.97,0
5755,S,E,NA,NA,NA,392,678,3,4,22,No,6,No,0,No,17,No,285,Yes,0,No,62,Yes,323,Yes,217,Yes,47,No,6,1,0,4,70,0,18,77,51,3,0,42,13,11,No,10,91,94,19,29,NA,85,34,27,24,11,3,2.22,97,3,28,72,0,0,0,432,2,430,162.23203,392,188.16,0,0,53.7,392,125.44,0,0,35.8,96,19.2,0,0,5.5,0,0,0,0,0,89,5.34,1.5,89,2.67,0.8,89,2.67,0.8,89,7.12,2,0,0,0,0,0,0,350.6,0
5758,S,E,NA,NA,NA,398,604,1,1,26,No,1,No,3,No,3,No,282,Yes,4,No,79,Yes,341,Yes,203,Yes,51,No,9,0,1,1,70,1,18,79,48,2,0,47,6,12,No,17,84,91,19,30,NA,76,41,27,27,4,2,2,97,3,25,75,0,0,0,473,1,472,158.47739,398,191.04,0,0,53.8,396,126.72,0,0,35.7,94,18.8,0,0,5.3,0,0,0,0,0,92,5.52,1.6,92,2.76,0.8,92,2.76,0.8,92,7.36,2.1,0,0,0,0,0,0,354.96,0
5759,S,E,NA,NA,NA,469,653,2,1,9,No,0,No,2,No,2,No,364,Yes,0,No,92,Yes,336,Yes,257,Yes,27,No,2,0,0,0,76,0,21,67,47,2,0,50,7,6,No,6,94,96,21,28,NA,59,28,38,27,4,2,2.15,100,0,23,77,0,0,0,499,1,497,164.64712,469,225.12,0,0,53.4,468,149.76,0,0,35.5,122,24.4,0,0,5.8,0,0,0,0,0,113,6.78,1.6,113,3.39,0.8,111,3.33,0.8,111,8.88,2.1,0,0,0,0,0,0,421.66,0
5764,S,M,NA,NA,NA,1543,701,5,6,63,No,13,No,20,No,66,No,971,Yes,4,No,405,Yes,815,Yes,670,Yes,145,Yes,4,1,1,4,63,0,26,46,0,5,0,27,21,11,No,4,96,97,NA,33,34,84,24,28,29,16,4,2.48,93,4,0,0,34,66,0,1611,0,1611,162.83268,1543,740.64,0,0,51.6,1543,493.76,0,0,34.4,0,0,0,0,0,504,100.8,0,0,7,503,30.18,2.1,503,15.09,1.1,503,15.09,1.1,503,40.24,2.8,0,0,0,0,0,0,1435.8,0
5765,S,E,NA,NA,NA,498,624,1,3,24,No,6,No,1,No,1,No,393,Yes,1,No,72,No,458,Yes,288,Yes,61,No,7,1,0,0,77,0,14,87,47,1,0,52,6,12,No,12,88,93,22,28,NA,92,62,28,9,2,0,1.51,100,0,25,75,0,0,0,566,0,566,156.03442,498,239.04,0,0,53.4,498,159.36,0,0,35.6,141,28.2,0,0,6.3,0,0,0,0,0,104,6.24,1.4,104,3.12,0.7,103,3.09,0.7,104,8.32,1.9,0,0,0,0,0,0,447.37,0
5766,D,1,NA,NA,NA,2633,658,B,B,253,Yes,18,No,17,No,4,No,1447,Yes,7,No,886,Yes,1650,Yes,483,Yes,213,Yes,10,1,1,0,54,0,33,52,23,4,0,13,5,8,NA,7,92,94,22,28,24,67,38,47,4,8,3,1.9,93,7,12,33,9,20,25,2801,0,2788,NA,1959,940.32,673,201.9,46.2,1960,627.2,673,134.6,30.8,286,57.2,665,99.75,6.3,272,54.4,419,94.275,6,553,33.18,1.3,553,16.59,0.7,554,16.62,0.7,554,44.32,1.8,255,76.5,3.1,259,77.7,3.1,1789.83,684.725
5769,S,E,NA,NA,NA,324,672,2,3,32,No,3,No,0,No,1,No,216,Yes,1,No,71,Yes,271,Yes,78,Yes,20,No,12,1,0,0,64,0,23,79,49,3,1,20,3,6,No,10,90,93,22,31,NA,59,39,54,1,5,1,1.76,92,0,24,69,6,0,0,359,0,359,161.74142,324,155.52,0,0,53.7,324,103.68,0,0,35.8,69,13.8,0,0,4.8,0,0,0,0,0,82,4.92,1.7,82,2.46,0.9,82,2.46,0.9,82,6.56,2.3,0,0,0,0,0,0,289.4,0
5770,S,E,NA,NA,NA,493,717,4,4,36,No,3,No,4,No,2,No,259,Yes,0,No,189,Yes,309,Yes,53,No,42,No,9,1,1,0,53,0,37,48,48,1,0,8,3,8,No,7,94,96,21,33,NA,78,41,44,3,9,3,1.89,100,3,24,70,6,0,0,527,0,527,166.8652,493,236.64,0,0,53.5,493,157.76,0,0,35.6,116,23.2,0,0,5.2,0,0,0,0,0,125,7.5,1.7,125,3.75,0.8,125,3.75,0.8,125,10,2.3,0,0,0,0,0,0,442.6,0
5772,S,M,NA,NA,NA,718,622,2,1,78,No,3,No,4,No,0,No,402,Yes,2,No,229,Yes,453,Yes,146,No,48,No,11,0,1,0,55,0,31,52,0,3,0,14,7,7,No,5,93,93,NA,26,27,64,38,50,3,7,3,1.86,91,9,0,0,27,73,0,773,0,772,159.82624,718,344.64,0,0,50.9,718,229.76,0,0,33.9,0,0,0,0,0,271,54.2,0,0,8,244,14.64,2.2,244,7.32,1.1,245,7.35,1.1,245,19.6,2.9,0,0,0,0,0,0,677.51,0
5776,S,E,NA,NA,NA,481,682,3,7,51,No,1,No,6,No,6,No,377,Yes,6,No,34,No,411,Yes,259,Yes,62,No,11,0,1,1,78,1,7,76,2,1,0,47,9,14,No,12,88,90,19,30,NA,88,42,31,23,5,0,1.9,95,0,25,75,0,0,0,548,1,546,158.65422,481,230.88,0,0,53.3,481,153.92,0,0,35.5,127,25.4,0,0,5.9,0,0,0,0,0,117,7.02,1.6,117,3.51,0.8,116,3.48,0.8,116,9.28,2.1,0,0,0,0,0,0,433.49,0
5780,S,E,NA,NA,NA,359,677,3,7,38,No,0,No,4,No,0,No,297,Yes,0,No,20,No,335,Yes,207,Yes,31,No,11,0,1,0,83,0,5,80,0,1,0,57,0,8,No,11,89,90,20,28,NA,92,55,30,13,2,0,1.63,100,0,26,74,0,0,0,402,0,402,157.95914,359,172.32,0,0,53.6,359,114.88,0,0,35.8,83,16.6,0,0,5.2,0,0,0,0,0,88,5.28,1.6,88,2.64,0.8,87,2.61,0.8,87,6.96,2.2,0,0,0,0,0,0,321.29,0
5785,S,H,NA,NA,NA,2066,746,8,8,82,No,9,No,32,No,37,No,611,Yes,11,No,1278,Yes,393,Yes,88,No,116,Yes,4,0,2,2,30,1,61,12,0,8,0,5,2,5,No,5,95,95,NA,NA,30,96,10,22,41,19,8,2.91,89,5,0,0,0,0,100,2192,0,2176,165.67544,0,0,2065,619.5,29.9,0,0,2066,413.2,20,0,0,2066,309.9,15,0,0,1259,283.275,13.7,0,0,0,0,0,0,0,0,0,0,0,0,743,222.9,10.8,736,220.8,10.7,0,2069.575
5786,S,H,A,NA,NA,149,408,B,B,18,No,1,No,0,No,1,No,111,Yes,1,No,17,No,129,Yes,36,No,22,No,18,1,0,0,65,0,15,50,0,0,2,19,6,9,No,65,35,77,NA,NA,29,85,44,26,17,9,3,2.01,86,9,0,0,0,11,89,455,0,420,NA,18,8.64,124,37.2,21.1,17,5.44,130,26,14.5,0,0,130,19.5,9,11,2.2,114,25.65,12.8,3,0.18,0.1,3,0.09,0,3,0.09,0,4,0.32,0.1,152,45.6,21,153,45.9,21.2,16.96,199.85
5788,S,M,NA,NA,NA,1197,615,2,5,168,Yes,2,No,9,No,7,No,925,Yes,5,No,81,No,1044,Yes,593,Yes,89,No,14,0,1,1,77,0,7,73,0,5,2,26,22,7,No,10,90,91,24,NA,32,98,44,25,22,6,3,1.99,82,15,0,0,0,100,0,1331,0,1331,152.09802,1196,574.08,0,0,48.1,1197,383.04,0,0,32.1,0,0,0,0,0,610,122,0,0,10.2,579,34.74,2.9,579,17.37,1.5,578,17.34,1.5,570,45.6,3.8,0,0,0,0,0,0,1194.17,0
5793,S,H,A,NA,NA,244,596,B,B,23,No,2,No,4,No,1,No,81,Yes,0,No,133,Yes,38,No,20,No,4,No,8,1,2,1,39,1,46,10,0,2,0,5,4,3,No,53,46,81,NA,NA,26,76,16,43,19,16,5,2.52,100,0,0,4,1,7,88,647,2,562,NA,36,17.28,205,61.5,28.8,36,11.52,208,41.6,19.4,7,1.4,208,31.2,11.9,11,2.2,165,37.125,14.4,10,0.6,0.2,10,0.3,0.1,10,0.3,0.1,10,0.8,0.3,123,36.9,13.5,102,30.6,11.2,34.4,238.925
5794,S,H,A,S,NA,28,476,B,B,4,No,0,No,0,No,0,No,15,No,0,No,8,No,19,No,9,No,0,No,16,1,0,0,47,0,26,55,0,1,0,19,3,9,No,74,26,100,NA,NA,NA,71,33,47,6,12,1,2.01,100,25,0,0,0,68,32,114,0,107,NA,22,10.56,5,1.5,45.9,21,6.72,5,1,29.4,0,0,5,0.75,2.9,16,3.2,1,0.225,13,6,0.36,1.4,6,0.18,0.7,6,0.18,0.7,5,0.4,1.5,2,0.6,2.3,2,0.6,2.3,21.6,4.675
5795,S,H,A,S,NA,47,639,B,B,8,No,0,No,0,No,0,No,22,No,1,No,16,No,19,No,5,No,2,No,16,2,0,0,49,1,26,35,0,2,0,13,4,4,No,75,25,86,NA,NA,18,75,19,49,12,17,3,2.35,83,33,0,0,0,0,100,186,0,180,NA,0,0,47,14.1,24.3,0,0,47,9.4,16.2,0,0,47,7.05,12.1,0,0,45,10.125,17.4,0,0,0,0,0,0,0,0,0,0,0,0,33,9.9,17,25,7.5,12.9,0,58.075
5799,S,H,NA,NA,NA,1353,706,6,10,110,Yes,5,No,29,No,10,No,723,Yes,7,No,466,Yes,705,Yes,263,Yes,71,No,9,0,2,1,53,1,34,45,0,5,0,13,8,5,No,6,94,95,NA,NA,29,90,20,55,9,11,5,2.27,94,8,0,0,0,0,100,1449,0,1441,157.6944,0,0,1353,405.9,28.8,0,0,1353,270.6,19.2,0,0,1353,202.95,14.4,0,0,813,182.925,13,0,0,0,0,0,0,0,0,0,0,0,0,585,175.5,12.5,570,171,12.1,0,1408.875
5800,S,H,A,S,NA,91,546,B,B,10,No,0,No,0,No,0,No,68,Yes,0,No,13,No,68,Yes,30,No,4,No,14,0,1,0,72,1,12,56,0,2,0,30,6,5,No,45,53,88,NA,NA,28,98,49,36,11,2,2,1.71,92,8,0,0,0,0,100,172,0,172,NA,0,0,91,27.3,21.3,0,0,91,18.2,14.2,0,0,91,13.65,10.7,0,0,87,19.575,15.3,0,0,0,0,0,0,0,0,0,0,0,0,87,26.1,20.4,77,23.1,18.1,0,127.925
5802,S,E,NA,NA,NA,573,833,8,10,93,Yes,7,No,12,No,0,No,223,Yes,2,No,236,Yes,282,Yes,68,No,36,No,16,1,2,0,40,0,40,50,20,11,0,11,2,6,No,5,95,97,22,32,NA,97,17,35,16,16,16,2.8,100,0,20,60,20,0,0,602,0,602,171.71711,573,275.04,0,0,54.9,572,183.04,0,0,36.5,102,20.4,0,0,4.1,0,0,0,0,0,114,6.84,1.4,114,3.42,0.7,113,3.39,0.7,113,9.04,1.8,0,0,0,0,0,0,501.17,0
5803,S,E,NA,NA,NA,243,744,5,10,30,No,0,No,0,No,1,No,140,Yes,1,No,71,Yes,192,Yes,67,Yes,14,No,14,0,0,0,57,0,28,76,19,9,0,28,2,5,No,15,85,91,20,28,NA,94,35,46,9,7,3,1.98,100,0,20,62,18,0,0,286,0,286,161.68884,243,116.64,0,0,54.9,243,77.76,0,0,36.6,41,8.2,0,0,3.9,0,0,0,0,0,49,2.94,1.4,49,1.47,0.7,50,1.5,0.7,49,3.92,1.8,0,0,0,0,0,0,212.43,0
5804,S,E,NA,NA,NA,410,785,7,6,59,No,0,No,13,No,5,No,147,Yes,2,No,184,Yes,165,Yes,70,No,41,No,15,0,3,1,38,0,43,40,19,16,0,17,3,10,No,7,93,94,21,26,NA,83,12,40,16,13,19,2.88,89,4,19,59,22,0,0,440,1,439,173.12676,410,196.8,0,0,55,409,130.88,0,0,36.6,77,15.4,0,0,4.3,0,0,0,0,0,74,4.44,1.2,74,2.22,0.6,74,2.22,0.6,74,5.92,1.7,0,0,0,0,0,0,357.88,0
5806,S,E,NA,NA,NA,674,704,4,7,53,No,2,No,14,No,3,No,520,Yes,4,No,78,No,575,Yes,233,Yes,51,No,8,0,2,0,77,1,12,80,20,7,0,34,5,7,Yes,8,92,94,20,32,NA,95,37,54,2,5,2,1.8,100,0,21,59,20,0,0,730,0,730,160.77952,673,323.04,0,0,54.5,674,215.68,0,0,36.4,146,29.2,0,0,4.9,0,0,0,0,0,122,7.32,1.2,122,3.66,0.6,122,3.66,0.6,122,9.76,1.6,0,0,0,0,0,0,592.32,0
5807,S,E,NA,NA,NA,162,717,4,5,11,No,2,No,1,No,1,No,92,Yes,1,No,54,Yes,120,Yes,36,No,15,No,7,2,1,1,56,1,33,70,25,10,0,20,2,7,No,15,85,89,19,28,NA,80,26,55,10,8,2,2.06,100,0,25,60,15,0,0,189,0,189,163.92884,161,77.28,0,0,55,161,51.52,0,0,36.7,23,4.6,0,0,3.3,0,0,0,0,0,36,2.16,1.5,36,1.08,0.8,35,1.05,0.7,34,2.72,1.9,0,0,0,0,0,0,140.41,0
